服务月数tenure,年龄age,婚姻状况marital,地址居住年数address,家庭收入income,受教育水平ed,现职位工作年数employ,是否退休retire,性别gender,家庭人数reside,免费电话服务tollfree,设备租赁equip,电话卡服务callcard,无线服务wireless,上月长途longmon,上月免费电话tollmon,上月设备equipmon,上月电话卡cardmon,上月无线wiremon,多线路multline,语音邮件voice,寻呼服务pager,互联网internet,来电显示callid,呼叫等待callwait,呼叫转移forward,是否支持电话会议confer,是否支持电子凭证ebill,客户类别custcat,是否流失churn
63,56,未婚,17,NA,社区学院,18,是,女,1,否,否,是,否,18.4,0,0,24.75,0,否,否,否,否,否,否,否,是,否,基础服务,否
61,34,已婚,0,70,社区学院,7,是,女,3,是,是,是,是,18.85,30,51.95,18.75,47.3,是,是,是,是,是,是,是,是,是,总服务,是
56,38,已婚,NA,56,大学学位,10,是,男,2,是,是,是,是,25.1,26.75,44.95,11.5,27.4,否,否,是,是,是,是,否,否,是,总服务,否
40,57,已婚,18,68,未完成中学学历,23,是,男,2,是,否,否,否,13.35,25.75,0,0,0,否,否,否,否,否,是,否,是,否,附加服务,否
61,45,未婚,21,80,中学学历,13,是,女,1,否,否,是,否,18.1,0,0,35.25,0,是,否,否,否,否,否,否,否,否,电子服务,否
16,26,未婚,7,21,大学学位,1,是,男,NA,是,是,否,是,3.55,11,44.75,0,30.8,是,是,是,是,否,否,是,否,是,总服务,否
7,43,未婚,4,69,NA,5,是,女,1,否,否,否,否,4.45,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
20,31,已婚,10,39,中学学历,3,是,女,2,否,否,否,否,7.75,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
35,38,未婚,7,90,中学学历,18,是,男,4,是,否,是,否,6.8,17.75,0,14,0,是,否,是,是,否,是,否,否,是,电子服务,否
60,37,已婚,12,64,研究生学位,1,是,女,2,否,否,是,否,14.85,0,0,17.5,0,是,否,否,否,否,否,否,否,否,电子服务,否
47,25,未婚,2,NA,中学学历,6,是,男,1,是,是,是,是,7.75,19.75,35.15,17,31.15,否,是,是,否,是,是,是,是,是,总服务,否
33,28,已婚,NA,24,中学学历,0,是,女,6,否,否,是,否,7.5,0,0,15.75,0,否,否,否,否,否,否,否,否,是,基础服务,否
12,34,未婚,NA,44,中学学历,7,是,男,1,否,否,否,否,4.05,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
10,31,未婚,0,NA,大学学位,7,是,女,2,否,是,否,否,5.4,0,28.35,0,0,是,否,是,是,否,否,否,否,是,电子服务,是
69,33,已婚,9,52,大学学位,9,是,女,3,否,否,是,否,29.95,0,0,29,0,是,否,否,否,否,否,是,是,否,附加服务,否
23,20,未婚,NA,15,社区学院,0,是,女,1,否,否,否,否,7.5,0,0,0,0,是,否,否,否,否,否,否,否,否,电子服务,否
53,31,未婚,10,46,社区学院,6,是,男,2,是,是,是,否,27.1,18.5,42.5,37.5,0,是,否,是,是,否,否,否,否,否,电子服务,否
60,57,已婚,14,NA,中学学历,33,是,女,2,是,否,是,是,17.55,30.75,0,21.25,46.7,是,否,是,否,是,是,是,是,否,附加服务,否
33,33,未婚,7,56,中学学历,11,是,男,1,否,否,是,否,13.45,0,0,16,0,否,否,否,否,否,是,否,否,否,基础服务,否
67,40,已婚,21,40,大学学位,NA,NA,女,4,否,是,是,是,24.35,0,46.6,15.25,37.45,是,是,是,是,是,否,是,否,是,总服务,否
15,38,已婚,NA,56,社区学院,13,是,NA,3,是,否,是,否,5.4,18,0,15,0,否,否,否,否,是,是,是,否,否,附加服务,否
64,31,已婚,5,46,中学学历,7,是,女,4,否,是,是,是,24.15,0,34.8,17.75,33.2,是,是,否,是,否,否,是,否,是,电子服务,否
46,49,已婚,13,51,中学学历,21,是,NA,2,否,否,是,否,7.25,0,0,21.75,0,否,否,否,否,否,否,否,否,否,基础服务,是
72,60,已婚,33,NA,未完成中学学历,20,否,男,3,是,否,是,是,53.75,68.5,0,10.25,43.95,是,是,是,否,是,是,是,是,否,总服务,否
61,43,NA,6,34,研究生学位,6,是,男,3,是,是,是,是,25.05,39,56.8,32.75,51,是,是,是,是,是,是,是,是,是,总服务,是
54,27,未婚,3,27,中学学历,6,是,女,5,是,是,是,是,12.4,35,48.3,5.75,43.5,是,是,是,是,是,是,否,是,是,总服务,否
28,36,未婚,3,42,社区学院,7,是,女,1,是,否,是,否,12.9,28.25,0,14,0,否,否,否,是,是,是,是,是,否,附加服务,否
28,38,NA,8,119,研究生学位,2,是,男,3,否,是,否,是,5.05,0,46.9,0,42.65,是,是,是,是,否,否,否,是,是,总服务,是
32,43,未婚,13,146,未完成中学学历,27,是,女,1,是,否,是,是,18.3,33.5,0,15.5,17.45,否,否,否,否,是,是,是,是,否,附加服务,否
52,46,未婚,17,51,中学学历,13,是,女,3,否,否,是,否,12.5,0,0,15,0,是,否,否,否,否,否,否,否,否,电子服务,否
48,62,未婚,33,NA,未完成中学学历,NA,NA,NA,1,是,是,是,是,16.35,33.5,38.95,18.75,30.6,否,是,否,否,是,是,是,是,是,附加服务,否
52,42,已婚,17,27,社区学院,8,是,女,2,是,否,是,否,19.65,31,0,19.75,0,否,否,否,是,是,是,是,是,否,附加服务,否
37,43,未婚,8,38,社区学院,9,是,男,1,否,否,否,否,8.1,0,0,0,0,是,否,否,否,否,否,否,否,否,电子服务,否
41,52,未婚,26,928,社区学院,29,是,男,3,是,否,是,否,7.65,25,0,13.5,0,否,是,否,否,是,是,是,是,否,附加服务,否
43,27,已婚,3,21,中学学历,1,是,女,3,否,否,是,否,12.65,0,0,16.5,0,是,否,否,否,否,否,否,否,否,电子服务,否
67,NA,未婚,24,NA,未完成中学学历,6,是,女,1,否,否,是,否,25.1,0,0,21.5,0,是,是,否,否,否,否,是,是,否,附加服务,否
61,52,已婚,30,NA,未完成中学学历,25,是,NA,2,否,否,是,否,13.8,0,0,47,0,否,否,否,否,否,否,否,否,否,基础服务,否
70,39,NA,20,38,中学学历,8,是,女,4,是,否,是,否,30.3,26.5,0,51.25,0,是,否,否,否,是,否,否,是,否,附加服务,否
44,32,已婚,1,96,大学学位,5,是,女,4,是,是,是,是,5.25,22,61.95,8.75,57.8,是,是,是,是,是,是,是,是,是,总服务,否
46,45,未婚,12,96,社区学院,17,是,男,1,否,是,是,否,10.95,0,24.5,9.75,0,是,否,否,是,否,否,否,否,是,电子服务,否
39,34,未婚,NA,54,社区学院,5,是,男,1,否,否,是,否,6.5,0,0,13.25,0,否,否,否,否,否,否,否,否,否,基础服务,否
39,59,NA,20,NA,大学学位,27,是,女,1,是,否,否,否,8.2,15,0,0,0,是,是,否,是,是,是,否,否,否,电子服务,否
50,29,已婚,10,53,大学学位,NA,NA,女,4,是,是,是,是,13.2,46,53.15,11.5,46.4,是,是,是,否,是,是,是,是,否,总服务,否
5,31,未婚,1,21,社区学院,1,是,女,2,否,否,否,否,2.6,0,0,0,0,否,否,否,否,否,否,否,否,是,基础服务,是
10,34,未婚,1,52,研究生学位,3,是,女,1,否,是,否,是,4.3,0,32.55,0,25.4,是,否,否,是,否,否,否,否,是,电子服务,是
72,69,未婚,45,17,社区学院,36,否,女,1,否,否,是,否,38.2,0,0,28.25,0,是,否,否,否,否,否,否,否,否,电子服务,否
68,60,未婚,40,NA,中学学历,39,是,女,1,否,否,是,否,31.6,0,0,26,0,是,否,否,否,是,是,是,否,否,附加服务,否
58,28,未婚,5,34,研究生学位,1,是,女,1,否,是,是,否,19.9,0,41.7,23.75,0,是,是,是,是,否,否,否,否,是,电子服务,否
18,44,已婚,10,107,未完成中学学历,19,是,女,7,否,否,否,否,2.25,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
65,45,已婚,25,67,研究生学位,NA,NA,女,2,是,是,是,否,9.85,20.75,27.65,36,0,是,否,否,否,否,是,否,是,否,附加服务,否
8,45,未婚,NA,37,大学学位,0,是,男,1,否,是,否,否,4.65,0,32.05,0,0,是,否,否,是,否,否,否,否,是,电子服务,是
1,20,未婚,1,21,中学学历,0,是,女,2,否,是,否,否,0.9,0,23.85,0,0,否,是,是,否,是,否,否,否,是,基础服务,是
42,58,未婚,7,NA,未完成中学学历,4,是,女,1,否,否,否,否,3.6,0,0,0,0,是,否,否,否,否,否,否,否,否,电子服务,否
4,25,已婚,NA,71,社区学院,NA,NA,女,5,否,是,否,否,3.6,0,28.7,0,0,否,是,否,是,否,否,否,否,是,基础服务,否
17,35,未婚,4,77,社区学院,NA,NA,女,1,是,否,否,否,8.1,15,0,0,0,否,否,否,否,是,是,是,否,否,附加服务,否
8,24,NA,1,18,大学学位,0,是,女,5,是,是,是,是,2.95,17,39.3,20,34.3,否,是,是,是,是,是,是,是,是,总服务,是
49,37,已婚,17,50,中学学历,12,是,女,2,否,否,是,否,4.2,0,0,16.5,0,是,否,否,否,否,否,否,否,否,电子服务,否
56,46,已婚,NA,33,大学学位,NA,NA,男,2,否,是,是,否,22.7,0,32.9,8.5,0,是,否,否,是,否,否,否,否,是,电子服务,否
62,57,已婚,21,94,未完成中学学历,22,是,男,2,是,否,是,否,11.95,32,0,53,0,是,否,是,否,是,是,是,是,是,总服务,否
42,57,已婚,25,209,未完成中学学历,40,是,女,4,否,否,是,否,9.45,0,0,11,0,否,否,否,否,否,否,否,否,否,基础服务,否
13,32,未婚,7,31,大学学位,5,是,男,2,是,否,是,是,5.05,35.5,0,10.5,23.3,否,是,否,否,是,是,是,是,否,附加服务,否
69,46,已婚,18,66,中学学历,19,是,男,4,否,否,是,否,21.85,0,0,46.5,0,是,否,否,否,否,否,否,否,否,电子服务,否
45,59,未婚,NA,51,未完成中学学历,15,是,男,2,否,否,是,否,5.95,0,0,5.25,0,否,否,否,否,否,否,否,否,否,基础服务,否
66,42,已婚,18,118,中学学历,20,是,男,2,否,否,是,否,26.8,0,0,21.75,0,是,否,否,否,否,否,否,否,否,电子服务,否
15,35,未婚,10,25,中学学历,3,是,男,1,否,是,否,否,4.75,0,21.4,0,0,否,否,否,是,否,否,否,否,是,基础服务,是
41,44,已婚,1,59,社区学院,21,是,女,NA,否,是,是,否,12.1,0,44.9,24.5,0,是,是,否,是,否,是,否,否,是,电子服务,否
11,20,未婚,1,NA,中学学历,0,是,女,1,是,是,是,是,4.75,23,38.55,13.5,42.7,否,是,是,是,是,是,是,是,是,总服务,是
45,30,NA,0,NA,研究生学位,NA,NA,男,4,是,是,是,是,7.1,40.75,39.75,16.5,50.85,是,是,是,是,是,是,是,是,是,总服务,是
52,62,未婚,23,NA,大学学位,17,是,男,1,是,否,是,否,13.35,18.5,0,18.5,0,否,否,否,否,否,否,否,是,否,基础服务,否
42,56,未婚,24,NA,大学学位,18,是,女,1,否,是,是,是,8,0,38.5,20.5,40.05,是,是,是,是,是,是,是,是,是,总服务,否
48,35,NA,11,50,未完成中学学历,NA,NA,男,3,是,否,是,否,12.85,21.75,0,17,0,否,是,否,否,是,是,否,否,否,附加服务,否
4,31,未婚,5,39,中学学历,5,是,男,2,是,是,是,是,4.9,26,41.55,10,36.4,否,是,是,是,是,是,是,是,是,总服务,是
53,64,已婚,10,54,中学学历,20,是,女,2,是,是,是,是,9.65,39.25,51.15,53.5,74.8,是,是,是,是,是,是,是,是,是,总服务,否
1,59,未婚,4,9,未完成中学学历,4,否,男,1,是,否,是,否,3.8,26.5,0,20.5,0,否,否,否,否,是,是,是,否,否,附加服务,否
19,30,已婚,NA,33,大学学位,1,是,男,3,是,是,否,否,4.05,22.25,31.8,0,0,否,是,是,是,否,是,是,是,是,总服务,否
33,30,未婚,11,28,未完成中学学历,9,是,男,1,否,否,否,否,7.4,0,0,0,0,否,否,否,否,否,否,是,否,否,基础服务,否
42,36,已婚,NA,44,中学学历,11,是,男,3,是,否,否,是,7,26.5,0,0,26.1,否,否,是,否,是,是,是,是,否,附加服务,否
NA,32,未婚,12,34,大学学位,4,是,女,2,否,否,是,否,23.95,0,0,10,0,是,否,否,否,否,否,否,否,否,电子服务,否
57,51,NA,7,68,大学学位,18,是,女,3,是,否,是,否,16.05,18.75,0,8.25,0,是,否,否,否,是,是,是,是,否,附加服务,否
64,39,未婚,5,37,未完成中学学历,9,是,男,1,否,否,是,否,10.2,0,0,17.5,0,否,否,否,否,否,否,否,否,否,基础服务,否
28,20,已婚,1,18,社区学院,0,是,男,3,否,是,否,是,7.7,0,38.9,0,32,是,是,是,是,否,是,否,是,是,总服务,否
29,35,已婚,10,55,中学学历,7,是,男,4,是,否,是,否,15.65,21.75,0,30.75,0,否,否,否,否,否,是,是,是,否,附加服务,是
46,31,已婚,12,21,未完成中学学历,5,是,男,5,否,否,是,否,8.95,0,0,9.25,0,否,否,否,否,否,是,是,是,否,附加服务,否
22,41,NA,9,29,社区学院,11,是,男,4,否,否,否,否,12.75,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,是
10,56,未婚,26,9,中学学历,6,否,NA,2,否,否,否,否,3.2,0,0,0,0,否,否,否,否,否,否,否,是,否,基础服务,否
50,41,未婚,16,138,中学学历,NA,NA,女,1,是,是,是,否,12.35,19.75,27.85,14.5,0,是,否,否,否,否,否,否,否,是,电子服务,是
55,65,未婚,34,NA,大学学位,12,否,女,1,是,否,是,是,18.6,46.25,0,14.75,41.2,否,是,是,否,是,是,是,是,否,总服务,否
15,54,未婚,7,62,未完成中学学历,11,是,男,1,否,否,否,否,3.15,0,0,0,0,否,否,否,否,是,否,否,否,否,基础服务,否
31,NA,已婚,13,37,社区学院,8,是,女,3,是,否,是,是,4.6,19.75,0,8.75,56.45,是,是,是,是,是,是,是,是,否,总服务,否
5,44,未婚,5,83,未完成中学学历,16,是,女,1,否,是,否,否,4.65,0,25.25,0,0,是,否,否,否,否,是,否,否,否,电子服务,是
69,63,未婚,28,168,未完成中学学历,43,是,女,2,是,否,是,否,14.5,44.25,0,18.25,0,否,否,否,否,是,是,是,是,否,附加服务,否
26,27,已婚,NA,33,大学学位,1,是,男,6,是,是,是,是,5.85,25.5,42.45,13.25,34.15,是,是,是,是,是,是,是,是,是,总服务,是
10,33,已婚,2,NA,社区学院,9,是,女,4,是,否,是,否,7.1,21.25,0,25.25,0,否,否,否,是,是,否,是,否,否,基础服务,是
26,30,未婚,9,18,大学学位,1,是,男,3,是,否,是,否,7.25,25.5,0,32.5,0,否,是,是,否,是,是,是,是,否,总服务,是
25,30,未婚,0,20,未完成中学学历,4,是,女,1,是,否,是,否,8.55,21.75,0,15.5,0,否,否,否,否,是,是,否,是,否,附加服务,否
30,23,NA,4,19,社区学院,1,是,男,4,否,是,是,否,7.9,0,35.2,27.5,0,是,否,否,是,否,否,否,否,是,电子服务,否
21,39,已婚,7,25,中学学历,1,是,男,4,是,否,是,是,8.5,27,0,20,31.25,否,否,否,否,是,是,是,是,否,附加服务,否
71,46,未婚,27,119,研究生学位,7,是,女,1,否,是,是,是,42.85,0,70.05,15,111.95,是,是,是,是,否,否,是,是,是,总服务,否
11,48,已婚,5,323,大学学位,25,是,男,4,是,否,是,是,5.25,30,0,21.75,25.75,否,否,否,是,是,是,是,是,否,附加服务,是
NA,30,已婚,7,45,未完成中学学历,11,是,女,2,否,否,否,否,6,0,0,0,0,否,否,否,否,否,否,是,否,否,基础服务,否
65,59,已婚,27,197,大学学位,26,是,男,2,否,是,是,否,45.4,0,25.75,46.75,0,是,否,是,否,否,否,否,否,是,电子服务,否
16,34,已婚,NA,56,社区学院,10,是,女,3,否,否,否,否,9.35,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,是
37,51,NA,NA,NA,大学学位,4,是,男,2,否,否,是,否,8.2,0,0,13.75,0,是,否,否,否,否,否,否,否,是,电子服务,否
5,30,NA,4,25,社区学院,6,是,男,NA,是,是,否,否,2.4,14.75,27.5,0,0,否,否,否,否,是,是,是,否,否,附加服务,是
3,55,已婚,9,26,NA,0,是,女,2,否,是,否,否,6.4,0,31.2,0,0,是,是,否,是,否,否,否,否,是,电子服务,是
5,32,未婚,6,33,大学学位,3,是,NA,2,否,是,否,否,3.2,0,21.6,0,0,否,否,否,是,否,否,否,否,是,基础服务,是
60,44,已婚,4,150,中学学历,24,是,男,2,是,否,是,是,20,63.5,0,15,36.8,是,是,是,否,是,是,是,是,是,总服务,否
19,37,已婚,4,99,中学学历,15,是,女,3,否,否,否,否,8,0,0,0,0,是,否,否,是,是,否,否,否,是,电子服务,是
54,40,未婚,19,50,大学学位,12,是,女,2,否,否,是,是,22.8,0,0,5,33.05,是,是,否,是,是,是,是,是,是,总服务,否
25,41,未婚,3,NA,社区学院,20,是,女,4,否,否,是,否,7.4,0,0,11,0,否,否,否,否,否,是,是,是,否,附加服务,否
1,36,未婚,6,21,未完成中学学历,NA,NA,男,2,否,是,否,否,1.35,0,22.6,0,0,是,否,否,否,是,否,否,否,是,电子服务,是
54,68,NA,7,273,社区学院,27,是,女,1,否,否,是,否,18.35,0,0,6,0,否,否,否,是,否,否,否,否,是,基础服务,否
14,31,已婚,9,39,社区学院,4,是,女,7,否,否,否,否,4.4,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
14,28,已婚,NA,17,中学学历,3,是,男,4,否,是,否,否,5.8,0,20.85,0,0,否,否,否,否,否,否,否,否,是,基础服务,是
10,45,NA,8,115,社区学院,17,是,女,4,否,是,否,否,5.7,0,28.05,0,0,是,否,否,是,否,否,否,否,是,电子服务,是
7,23,未婚,3,27,中学学历,1,是,女,3,是,否,是,否,3.65,9.5,0,7,0,否,否,否,否,否,是,是,否,否,基础服务,否
33,45,未婚,24,35,未完成中学学历,6,是,男,1,是,否,是,否,5.65,24,0,25.5,0,否,否,是,否,是,是,是,是,否,附加服务,是
3,23,未婚,2,20,中学学历,4,是,男,1,否,是,否,否,4.65,0,30,0,0,否,是,否,是,否,否,否,是,是,基础服务,否
56,58,已婚,NA,NA,未完成中学学历,25,是,男,3,否,否,是,否,8.25,0,0,19.75,0,否,否,否,否,否,否,否,是,否,基础服务,否
54,56,未婚,8,207,中学学历,35,是,女,1,是,否,是,否,9,25.25,0,9,0,否,否,否,否,是,是,是,是,否,附加服务,否
72,55,已婚,NA,40,未完成中学学历,11,是,男,5,否,否,是,否,34.25,0,0,35.75,0,是,否,否,否,否,否,否,否,否,电子服务,否
18,29,未婚,4,40,中学学历,1,是,男,1,否,是,否,否,9.5,0,27.35,0,0,否,否,否,是,是,是,是,否,否,附加服务,否
25,29,未婚,NA,55,大学学位,1,是,男,1,是,否,否,否,5.25,24.75,0,0,0,否,否,否,否,是,否,否,否,是,基础服务,是
42,62,未婚,26,NA,未完成中学学历,35,否,女,1,否,否,是,否,8.75,0,0,27,0,否,否,否,否,否,否,否,否,是,基础服务,否
4,37,未婚,2,41,中学学历,8,是,男,1,是,是,是,否,2.8,13.5,29.9,16.5,0,否,否,是,是,否,是,否,否,否,基础服务,否
12,50,已婚,16,NA,大学学位,25,是,男,2,是,否,是,是,4.95,22,0,11.25,28.3,否,否,是,否,否,是,否,否,是,基础服务,是
53,64,已婚,17,380,中学学历,36,是,女,2,是,否,是,否,12.85,40.25,0,15,0,否,否,否,否,是,是,是,是,否,附加服务,否
13,38,已婚,8,104,大学学位,6,是,男,7,是,否,是,是,10.25,21.5,0,25.75,58.85,否,是,是,是,是,是,是,是,是,总服务,是
18,31,NA,12,24,社区学院,4,是,男,4,否,否,否,否,12.15,0,0,0,0,是,否,否,否,否,否,否,否,是,电子服务,否
67,42,已婚,20,81,社区学院,20,是,女,5,是,否,是,是,24.4,41.25,0,9.5,36.7,是,是,是,否,是,是,是,是,否,总服务,否
6,24,未婚,2,17,未完成中学学历,1,是,男,1,是,否,是,否,3.25,21,0,15.25,0,否,否,否,否,是,是,否,是,否,附加服务,否
25,46,未婚,13,45,未完成中学学历,12,是,女,1,是,否,否,否,5.4,16,0,0,0,否,是,否,否,否,是,是,否,否,附加服务,否
15,39,未婚,19,32,中学学历,2,是,男,1,否,是,否,否,3.45,0,31.85,0,0,是,是,否,否,否,否,否,否,是,电子服务,是
32,35,未婚,NA,57,大学学位,5,是,男,1,是,是,否,否,8.6,11,30.05,0,0,是,否,否,否,否,否,否,否,否,电子服务,否
22,39,未婚,0,63,大学学位,9,是,男,1,否,是,否,否,6.2,0,21.35,0,0,是,否,否,是,否,否,否,否,是,电子服务,是
8,22,NA,3,25,大学学位,0,是,男,1,是,否,是,是,8,32.25,0,18.25,19.45,否,是,否,否,是,是,是,是,否,附加服务,否
3,31,已婚,4,22,未完成中学学历,1,是,男,2,否,是,否,否,3.4,0,22.7,0,0,否,否,否,是,否,是,否,否,是,基础服务,是
NA,54,未婚,6,155,中学学历,20,是,男,1,否,否,否,否,16.35,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
49,54,未婚,24,30,中学学历,5,是,男,1,否,否,是,否,15.5,0,0,14.25,0,是,否,否,否,否,否,是,否,否,电子服务,否
2,28,未婚,7,46,社区学院,0,是,女,1,否,否,否,是,3.45,0,0,0,15.1,是,否,是,否,是,是,否,是,是,总服务,否
39,47,未婚,1,68,大学学位,10,是,女,2,否,否,否,否,8.3,0,0,0,0,是,否,否,是,否,否,否,否,是,电子服务,是
42,33,未婚,2,67,中学学历,NA,NA,男,2,否,否,是,否,6.7,0,0,25.25,0,是,否,否,否,否,否,否,是,否,电子服务,否
28,36,NA,NA,69,社区学院,2,是,男,1,是,是,是,是,6.05,25.25,41.55,31.75,36.6,是,是,是,否,是,是,是,是,是,总服务,否
41,46,已婚,14,47,中学学历,NA,是,男,5,是,是,是,是,6.3,41.25,55.8,20,50.95,是,是,是,否,是,是,是,是,否,总服务,否
67,50,已婚,31,NA,中学学历,12,是,男,2,否,是,是,否,29.45,0,22.65,19,0,是,否,否,否,否,否,否,否,是,电子服务,否
38,40,未婚,15,34,中学学历,11,是,女,1,否,是,是,否,4.25,0,19.8,7,0,是,否,否,是,否,否,否,否,否,电子服务,否
18,38,未婚,8,45,中学学历,2,是,女,4,是,是,是,是,2.7,31.5,36.25,15,23.4,否,是,否,是,是,是,是,是,是,总服务,是
6,42,已婚,17,29,中学学历,2,是,女,2,是,否,是,是,4.3,25.75,0,29,31.9,否,是,是,否,是,是,是,是,否,总服务,否
4,36,未婚,0,21,中学学历,1,是,女,3,否,否,否,否,3.3,0,0,0,0,否,否,否,否,否,否,否,是,否,基础服务,否
13,23,已婚,3,30,社区学院,0,是,女,4,是,是,否,否,5.15,24.25,28.85,0,0,是,是,是,是,是,否,是,是,否,总服务,否
20,35,未婚,0,NA,大学学位,7,是,男,1,否,是,否,是,5.5,0,46.1,0,35.25,是,是,是,是,否,是,是,否,是,总服务,是
34,49,已婚,27,61,社区学院,15,是,女,2,是,否,否,否,12.65,34.25,0,0,0,否,否,否,否,是,是,是,是,否,附加服务,否
46,29,已婚,4,90,研究生学位,3,是,男,4,是,否,是,是,16.85,40.5,0,34.5,39.8,否,是,是,是,是,是,是,是,否,总服务,否
48,41,未婚,21,43,中学学历,7,是,男,1,否,否,是,否,19.5,0,0,11.75,0,是,否,否,否,否,否,否,否,否,电子服务,否
69,61,已婚,12,NA,中学学历,37,是,男,2,是,是,是,是,26.05,36.75,41.85,16.25,38.45,是,是,否,否,是,是,是,是,否,附加服务,否
32,34,已婚,7,32,中学学历,15,是,男,4,否,否,否,否,9.25,0,0,0,0,否,否,否,否,否,否,否,是,否,基础服务,否
29,29,未婚,9,41,中学学历,NA,NA,男,2,是,是,否,否,4.75,23,37.45,0,0,是,否,否,否,否,否,是,是,是,电子服务,否
55,52,未婚,22,NA,未完成中学学历,28,是,女,3,否,否,是,否,7.05,0,0,20.25,0,是,是,否,否,否,否,否,否,是,电子服务,否
72,60,已婚,36,NA,未完成中学学历,43,是,女,2,否,否,是,否,21.7,0,0,52.25,0,是,否,否,否,是,是,是,是,否,附加服务,否
29,26,NA,1,NA,社区学院,2,是,女,1,否,否,是,否,3.4,0,0,15.75,0,否,是,否,否,否,否,否,是,否,基础服务,是
50,25,已婚,1,36,大学学位,2,是,女,5,否,是,是,是,13.05,0,40.6,10.25,40.85,是,是,是,否,是,是,是,是,是,总服务,否
35,50,已婚,11,NA,社区学院,21,是,男,2,否,是,否,否,12.25,0,23.9,0,0,否,否,否,否,否,否,否,否,是,基础服务,是
11,63,未婚,9,41,NA,3,是,男,1,否,是,否,否,4.15,0,29.9,0,0,否,否,否,是,否,否,否,否,是,基础服务,是
9,29,未婚,9,NA,社区学院,5,是,女,1,否,否,否,否,4.2,0,0,0,0,否,否,否,否,否,否,否,否,是,基础服务,否
51,48,未婚,27,58,未完成中学学历,18,是,男,1,是,否,是,否,19.2,25.75,0,9.25,0,否,否,否,否,是,否,是,是,否,附加服务,是
33,34,已婚,NA,28,未完成中学学历,3,是,女,3,否,否,否,否,13.4,0,0,0,0,是,否,否,是,是,否,否,否,否,电子服务,否
25,20,未婚,0,NA,中学学历,NA,是,男,2,是,否,是,否,10.7,23,0,18.75,0,否,否,否,否,是,是,是,是,否,附加服务,否
31,34,NA,9,105,大学学位,7,是,女,4,否,否,是,否,6.45,0,0,5.75,0,否,否,否,否,否,是,否,是,否,附加服务,否
67,40,已婚,10,80,大学学位,8,是,女,NA,是,是,是,是,33.05,21.75,53.55,18.75,48.05,是,是,是,是,是,是,是,是,是,总服务,否
55,NA,未婚,NA,36,NA,9,是,男,3,是,否,是,否,25.65,41.75,0,11.75,0,是,是,否,否,是,是,是,是,否,附加服务,否
19,50,未婚,7,112,大学学位,3,是,女,1,否,是,是,是,7.15,0,44.8,14.25,46.55,是,是,是,否,是,是,否,是,是,总服务,否
39,34,已婚,11,55,NA,10,是,女,4,是,是,是,是,18.45,33.75,56.95,35.5,47.85,否,是,是,是,是,是,是,是,否,总服务,否
52,35,已婚,8,40,大学学位,1,是,男,2,是,是,是,是,10.75,33.5,35.3,11,44.6,是,是,否,否,是,是,是,是,否,附加服务,否
55,37,已婚,15,23,中学学历,0,是,女,5,是,否,是,否,12.95,32.5,0,26.25,0,是,否,否,否,是,是,是,是,否,附加服务,否
25,62,未婚,27,NA,NA,33,否,女,1,是,是,是,是,8.3,14.75,52,18,47,是,是,是,否,是,是,是,是,是,总服务,是
33,58,未婚,12,21,中学学历,NA,NA,NA,1,否,否,是,否,8.8,0,0,20.75,0,否,否,否,否,否,否,否,否,否,基础服务,否
48,35,未婚,5,63,大学学位,12,是,男,2,否,否,是,否,13.4,0,0,27.5,0,是,否,是,否,是,是,是,是,否,附加服务,是
48,31,已婚,12,52,大学学位,3,是,男,3,是,是,是,是,8.15,26.5,50.95,31.75,55.55,是,是,是,是,是,是,是,是,是,总服务,否
49,NA,未婚,3,189,未完成中学学历,31,是,女,NA,否,否,是,否,11,0,0,8.75,0,否,否,否,否,否,否,否,否,否,基础服务,否
54,32,已婚,0,50,未完成中学学历,15,是,男,3,是,是,是,否,18.15,46.25,49.2,21.25,0,否,否,否,否,是,是,是,是,否,附加服务,是
45,32,已婚,9,23,NA,15,是,男,4,否,否,否,否,9.85,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
4,37,已婚,1,33,中学学历,15,是,女,5,否,是,否,否,2.45,0,21.9,0,0,否,否,否,是,否,否,否,否,是,基础服务,是
49,27,已婚,3,29,社区学院,6,是,女,3,否,是,否,否,10.4,0,44,0,0,是,是,否,是,否,否,否,否,是,电子服务,是
23,35,未婚,2,96,社区学院,4,是,男,1,否,是,是,是,6.4,0,37.6,22.75,46.2,是,是,是,是,是,是,是,是,是,总服务,是
31,44,NA,23,80,研究生学位,15,是,男,NA,是,是,否,否,14.05,9.25,30.35,0,0,是,否,否,是,否,否,否,否,是,电子服务,是
55,44,已婚,2,NA,中学学历,NA,NA,男,5,是,否,是,否,6.6,43.5,0,29.5,0,否,否,否,否,是,是,是,是,否,附加服务,否
